"","external_gene_name","reg","orgname"
"150",NA,"13:1800227:1800399","nvison"
"151",NA,"5:164291062:164291284","nvison"
"152",NA,"2:3711909:3712157","nvison"
"153",NA,"5:164290953:164291204","nvison"
"154",NA,"5:164290967:164291211","nvison"
"155",NA,"10:31743879:31743967","nvison"
"156",NA,"12:117770008:117770193","nvison"
"157",NA,"3:199488631:199488819","nvison"
"158",NA,"8:4276102:4276272","nvison"
"159",NA,"10:9414030:9414226","nvison"
"160",NA,"X:47515046:47515212","nvison"
"161",NA,"7:181776177:181776450","nvison"
"162",NA,"11:208705588:208705723","nvison"
"163",NA,"14:31435350:31435552","nvison"
"164",NA,"7:154857559:154857631","nvison"
"165",NA,"9:1863591:1863683","nvison"
"166",NA,"10:39563061:39563230","nvison"
"167",NA,"10:39563063:39563251","nvison"
"168",NA,"2:3711972:3712161","nvison"
"169",NA,"5:54593330:54593397","nvison"
"170",NA,"10:5292879:5293060","nvison"
"171",NA,"7:154857823:154857906","nvison"
"172",NA,"10:31743871:31743959","nvison"
"173",NA,"4:6964730:6964850","nvison"
"174",NA,"4:6964730:6964833","nvison"
"175",NA,"11:59160478:59160537","nvison"
"176",NA,"11:59894178:59894237","nvison"
"177",NA,"10:31906062:31906166","nvison"
"178",NA,"10:39563059:39563242","nvison"
"179",NA,"14:21992626:21992816","nvison"
"180",NA,"5:164290965:164291147","nvison"
"181",NA,"1:257009909:257009967","nvison"
"182",NA,"3:124803083:124803155","nvison"
"183",NA,"3:214924757:214924915","nvison"
"184",NA,"4:6964734:6964845","nvison"
"185",NA,"10:31743873:31743951","nvison"
"186",NA,"11:208705555:208705667","nvison"
"187",NA,"13:89253084:89253192","nvison"
"188",NA,"13:111792085:111792173","nvison"
"189",NA,"2:221615545:221615669","nvison"
"190",NA,"3:124803060:124803141","nvison"
"191",NA,"3:124803262:124803384","nvison"
"192",NA,"4:72403846:72403937","nvison"
"193",NA,"5:61660403:61660484","nvison"
"194",NA,"13:78388542:78388633","nvison"
"195",NA,"4:6964730:6964850","nvison"
"196",NA,"5:166418606:166418708","nvison"
"197",NA,"6:152586025:152586173","nvison"
"198",NA,"7:181772518:181772592","nvison"
"199",NA,"8:36757737:36757797","nvison"
"200",NA,"12:145035977:145036114","nvison"
"201",NA,NA,"bacutorostrata"
"202",NA,"8:29408194:29421945","bmusculus"
"203","SPIRE1","14:28979694:28990184","bmusculus"
"204",NA,"3:11246346:11257113","bmusculus"
"205","HDAC4","7:111777630:111786458","bmusculus"
"206",NA,"3:65030658:65036894","bmusculus"
"207","DNM1L","10:27701766:27706946","bmusculus"
"208","RAB3C","3:44651119:44658884","bmusculus"
"209",NA,"4:98224790:98231602","bmusculus"
"210","CHDH","11:68987247:68994005","bmusculus"
"211","GNG2","2:127642984:127649194","bmusculus"
"212","LUZP2","8:76715498:76720569","bmusculus"
"213",NA,"18:5019512:5023948","bmusculus"
"214",NA,"4:98232111:98236068","bmusculus"
"215",NA,"10:28047138:28051578","bmusculus"
"216",NA,"6:102914278:102917624","bmusculus"
"217","GNG2","2:127650014:127653552","bmusculus"
"218","GPC5","18:62126235:62128868","bmusculus"
"219",NA,"5:8493201:8495884","bmusculus"
"220",NA,"18:5015266:5017849","bmusculus"
"221","SLC9B1","5:65129568:65132317","bmusculus"
"222","CLOCK","5:65129568:65132317","bmusculus"
"223","EXOC6B","13:28440940:28443214","bmusculus"
"224","FAM227B","2:83396035:83398371","bmusculus"
"225",NA,"2:30044423:30047589","bmusculus"
"226",NA,"2:19450505:19452892","bmusculus"
"227","CHDH","11:68983877:68986013","bmusculus"
"228",NA,"3:56069091:56072016","bmusculus"
"229","RASA2","4:22498075:22501027","bmusculus"
"230",NA,"14:11130276:11132303","bmusculus"
"231",NA,"7:11844836:11847538","bmusculus"
"232",NA,"13:4733:7022","bmusculus"
"233","EXOC6B","13:28438624:28440310","bmusculus"
"234",NA,"2:30049167:30051298","bmusculus"
"235","RAB3C","3:44648991:44650724","bmusculus"
"236","DNM1L","10:27705921:27706946","bmusculus"
"237","SLC8B1","14:15564466:15566132","bmusculus"
"238",NA,"10:1000:3279","bmusculus"
"239",NA,"14:11122231:11124837","bmusculus"
"240",NA,"6:169739:172260","bmusculus"
"241",NA,":41119:43207","bmusculus"
"242","UNC13C","2:79020004:79021617","bmusculus"
"243",NA,"3:56072027:56074154","bmusculus"
"244",NA,"6:176137:178146","bmusculus"
"245","HDAC4","7:111788549:111789739","bmusculus"
"246",NA,"21:12361300:12363251","bmusculus"
"247",NA,"11:94267555:94269723","bmusculus"
"248",NA,"19:5536085:5537776","bmusculus"
"249",NA,"9:11569118:11570419","bmusculus"
"250",NA,"2:74408586:74409958","bmusculus"
"251",NA,"9:11569233:11570419","bmusculus"
"252","NRXN3","2:152639814:152640944","bmusculus"
"253","FSTL5","5:5715890:5716918","bmusculus"
"254",NA,"6:172319:173869","bmusculus"
"255","GNG2","2:127640015:127641226","bmusculus"
"256",NA,"13:3015:4728","bmusculus"
"257","GNG2","2:127653879:127654830","bmusculus"
"258",NA,"19:5534412:5535735","bmusculus"
"259","RASA2","4:22494708:22496106","bmusculus"
"260",NA,"10:3619:4901","bmusculus"
"261",NA,"14:11120937:11122245","bmusculus"
"262",NA,"13:7357:8632","bmusculus"
"263","FSTL5","5:5717802:5718678","bmusculus"
"264",NA,"11:94266033:94267469","bmusculus"
"265","HDAC4","7:111787331:111788104","bmusculus"
"266",NA,"X:26488004:26488955","bmusculus"
"267",NA,":42983:44194","bmusculus"
"268","CCDC3","2:19444123:19445093","bmusculus"
"269",NA,":39198:40774","bmusculus"
"270",NA,"3:56066426:56067938","bmusculus"
"271",NA,"14:11128349:11129481","bmusculus"
"272",NA,"9:11567629:11568334","bmusculus"
"273","GNG2","2:127641743:127642646","bmusculus"
"274",NA,"4:98224100:98224793","bmusculus"
"275",NA,"14:11125335:11126564","bmusculus"
"276",NA,"3:67811426:67812046","bmusculus"
"277","DCDC2C","13:88412050:88412599","bmusculus"
"278","SPIRE1","14:28990534:28991181","bmusculus"
"279",NA,"1:126934603:126935608","bmusculus"
"280",NA,"1:126932295:126933382","bmusculus"
"281",NA,"21:12363767:12364780","bmusculus"
"282",NA,"13:25335567:25336728","bmusculus"
"283",NA,"6:168646:169741","bmusculus"
"284",NA,"13:22600710:22601562","bmusculus"
"285",NA,"19:46307836:46308685","bmusculus"
"286",NA,"2:30052129:30052793","bmusculus"
"287","SLC8B1","14:15563307:15564091","bmusculus"
"288",NA,"16:49837225:49838202","bmusculus"
"289",NA,"19:46305807:46306660","bmusculus"
"290",NA,"1:126930221:126931085","bmusculus"
"291",NA,"9:11568326:11569077","bmusculus"
"292",NA,"6:102913502:102913982","bmusculus"
"293","DOCK4","9:38260229:38261077","bmusculus"
"294",NA,"10:248:995","bmusculus"
"295","AGAP1","7:108960414:108961059","bmusculus"
"296",NA,"1:126936527:126937371","bmusculus"
"297",NA,"19:5533401:5534118","bmusculus"
"298",NA,"16:230276:230886","bmusculus"
"299",NA,"16:231734:232456","bmusculus"
"300",NA,"14:11132655:11133091","bmusculus"
"301","RASA2","4:22497570:22498073","bmusculus"
"302",NA,"1:126935676:126936275","bmusculus"
"303","FSTL5","5:5716948:5717678","bmusculus"
"304",NA,"13:25334767:25335570","bmusculus"
"305",NA,"19:46304743:46305229","bmusculus"
"306","UNC13C","2:79021970:79022352","bmusculus"
"307",NA,"20:13538656:13539151","bmusculus"
"308",NA,"2:2555898:2556180","bmusculus"
"309","RASA2","4:22501100:22501498","bmusculus"
"310",NA,"3:56074368:56074862","bmusculus"
"311",NA,"6:160837:161321","bmusculus"
"312",NA,"2:30048783:30049162","bmusculus"
"313",NA,"16:231205:231631","bmusculus"
"314",NA,"6:166559:167045","bmusculus"
"315","HDAC4","7:111786458:111786702","bmusculus"
"316",NA,"1:115698764:115699163","bmusculus"
"317",NA,"8:64642787:64643124","bmusculus"
"318",NA,"13:25331444:25331948","bmusculus"
"319",NA,"1:126931531:126932164","bmusculus"
"320",NA,"20:29097105:29097553","bmusculus"
"321","GNG2","2:127649374:127649770","bmusculus"
"322","CHDH","11:68986474:68986872","bmusculus"
"323","HDAC4","7:111790046:111790272","bmusculus"
"324",NA,"17:68599543:68599808","bmusculus"
"325",NA,"2:30048039:30048376","bmusculus"
"326",NA,"4:98231674:98231987","bmusculus"
"327",NA,"19:45148477:45148798","bmusculus"
"328","PDE4D","3:45179641:45179906","bmusculus"
"329","TRIM62","1:26208240:26208514","bmusculus"
"330",NA,"19:60444534:60445004","bmusculus"
"331","RASA2","4:22494103:22494382","bmusculus"
"332",NA,"10:47436625:47436887","bmusculus"
"333",NA,"8:87855310:87856086","bmusculus"
"334",NA,"16:52598309:52598614","bmusculus"
"335",NA,"X:60908232:60908401","bmusculus"
"336",NA,"2:30053109:30053433","bmusculus"
"337",NA,"3:56068654:56068868","bmusculus"
"338",NA,"X:26489141:26489346","bmusculus"
"339",NA,"16:49836334:49836607","bmusculus"
"340","PCLO","9:81955952:81956171","bmusculus"
"341",NA,"19:30166966:30167143","bmusculus"
"342",NA,"2:30096267:30096486","bmusculus"
"343",NA,"21:12363579:12363761","bmusculus"
"344",NA,"2:30043243:30043451","bmusculus"
"345",NA,"14:11128119:11128318","bmusculus"
"346","LMBRD1","12:85372718:85372876","bmusculus"
"347","SLC9B1","5:53408248:53408504","bmusculus"
"348",NA,"3:56065712:56065959","bmusculus"
"349",NA,"14:11127250:11127488","bmusculus"
"350",NA,"10:92760675:92760890","bmusculus"
"351",NA,"3:56068024:56068315","bmusculus"
"352",NA,"16:229231:229430","bmusculus"
"353",NA,"19:5534197:5534393","bmusculus"
"354",NA,"4:98231781:98231987","bmusculus"
"355",NA,"16:49838200:49838401","bmusculus"
"356",NA,"20:30227407:30227642","bmusculus"
"357",NA,"14:11125130:11125303","bmusculus"
"358",NA,"1:155373869:155374056","bmusculus"
"359","SLC9B1","5:70663547:70663645","bmusculus"
"360","GABRA2","5:70663547:70663645","bmusculus"
"361","GNG2","2:127641263:127641410","bmusculus"
"362",NA,"20:13539806:13540031","bmusculus"
"363","VAV2","6:114128216:114128366","bmusculus"
"364",NA,"2:30053839:30053958","bmusculus"
"365",NA,"3:156640419:156640600","bmusculus"
"366",NA,"8:97643333:97643425","bmusculus"
"367",NA,"16:52597915:52598039","bmusculus"
"368","GNG2","2:127649567:127649770","bmusculus"
"369","CHDH","11:68986670:68986872","bmusculus"
"370",NA,"14:11129811:11129936","bmusculus"
"371",NA,"6:63831470:63831595","bmusculus"
"372",NA,"1:115698961:115699163","bmusculus"
"373",NA,"1:126936271:126936403","bmusculus"
"374",NA,"15:31761939:31762052","bmusculus"
"375",NA,"1:115699477:115699718","bmusculus"
"376",NA,"2:30052018:30052125","bmusculus"
"377","SLC9B1","5:53408856:53408948","bmusculus"
"378",NA,"20:13538227:13538321","bmusculus"
"379","CREB5","9:48765016:48765068","bmusculus"
"380",NA,"13:25337092:25337289","bmusculus"
"381",NA,"18:29530919:29531013","bmusculus"
"382","RAB3C","3:44651051:44651118","bmusculus"
"383",NA,"6:45330835:45330902","bmusculus"
"384",NA,"1:126931402:126931476","bmusculus"
"385",NA,"11:18735750:18735813","bmusculus"
"386",NA,"12:58656235:58656312","bmusculus"
"387","FAM227B","2:83395968:83396028","bmusculus"
"388",NA,"3:56065845:56065959","bmusculus"
"389",NA,"3:99392208:99392268","bmusculus"
"390",NA,"6:36265151:36265197","bmusculus"
"391",NA,"3:80294605:80301949","bmusculus"
"392",NA,"7:55619023:55625394","bmusculus"
"393",NA,"10:52208200:52213675","bmusculus"
"394",NA,"19:438068:442914","bmusculus"
"395",NA,"1:99736226:99743960","bmusculus"
"396",NA,"1:99737350:99743960","bmusculus"
"397",NA,"3:80298039:80301949","bmusculus"
"398",NA,"19:449052:453301","bmusculus"
"399",NA,"10:52213772:52218789","bmusculus"
"400","ADAMTS19","3:106617128:106621901","bmusculus"
"401",NA,"5:134440377:134445554","bmusculus"
"402",NA,"8:89176492:89180780","bmusculus"
"403",NA,"5:134440584:134445554","bmusculus"
"404","ZNF569","19:15510909:15516809","bmusculus"
"405",NA,"X:75331328:75333968","bmusculus"
"406","LTBP3","8:103400378:103403546","bmusculus"
"407",NA,"19:443179:446749","bmusculus"
"408",NA,"21:19180226:19184026","bmusculus"
"409",NA,"18:59404293:59407654","bmusculus"
"410",NA,"1:99744242:99747133","bmusculus"
"411",NA,"10:92748260:92750263","bmusculus"
"412",NA,"10:92752679:92755301","bmusculus"
"413",NA,"5:19566888:19570274","bmusculus"
"414","ARHGEF10","21:10962726:10965276","bmusculus"
"415","DGKD","7:106862014:106864290","bmusculus"
"416",NA,"3:13200085:13201939","bmusculus"
"417",NA,"2:85902365:85904004","bmusculus"
"418",NA,"3:98099229:98101112","bmusculus"
"419",NA,"10:92753365:92755301","bmusculus"
"420","MCTP2","2:45500899:45502626","bmusculus"
"421",NA,"3:144280233:144282518","bmusculus"
"422","CFAP100","11:104064368:104066655","bmusculus"
"423","LTBP3","8:103398635:103400089","bmusculus"
"424",NA,"3:13196374:13198092","bmusculus"
"425",NA,"14:90455188:90457471","bmusculus"
"426",NA,"2:39354910:39356497","bmusculus"
"427",NA,"9:70052606:70054322","bmusculus"
"428",NA,"16:49728382:49730611","bmusculus"
"429",NA,"14:37359503:37360938","bmusculus"
"430",NA,"21:19177570:19179242","bmusculus"
"431",NA,"3:13198122:13199864","bmusculus"
"432","ARHGEF10","21:10966384:10968000","bmusculus"
"433",NA,"16:18946958:18948757","bmusculus"
"434",NA,"4:123774724:123776457","bmusculus"
"435",NA,"14:37362921:37364430","bmusculus"
"436",NA,"16:18950854:18952565","bmusculus"
"437",NA,"3:13198322:13199864","bmusculus"
"438",NA,"8:89180906:89182516","bmusculus"
"439","ARHGEF10","21:10968562:10970268","bmusculus"
"440",NA,"13:893269:895173","bmusculus"
"441",NA,"8:89181114:89182516","bmusculus"
"442",NA,"5:19570248:19571992","bmusculus"
"443",NA,"9:81994887:81996595","bmusculus"
"444",NA,"14:37361746:37362921","bmusculus"
"445",NA,"11:51972370:51973858","bmusculus"
"446",NA,"9:70054827:70055943","bmusculus"
"447",NA,"9:70057416:70058747","bmusculus"
"448",NA,"10:92750581:92751508","bmusculus"
"449","CFAP100","11:104066660:104068363","bmusculus"
"450",NA,"10:20987256:20988868","bmusculus"
"451",NA,"13:891810:893250","bmusculus"
"452","ZNF25","16:75947708:75948972","bmusculus"
"453",NA,"6:28510:29999","bmusculus"
"454",NA,"3:144278599:144279888","bmusculus"
"455","CFAP100","11:104062747:104064029","bmusculus"
"456","ZNF25","16:75946530:75947705","bmusculus"
"457",NA,"8:89175624:89176493","bmusculus"
"458","NATD1","20:59636363:59637644","bmusculus"
"459",NA,"9:81993633:81994882","bmusculus"
"460",NA,"19:447929:448714","bmusculus"
"461",NA,"11:51975383:51976328","bmusculus"
"462",NA,"11:51964482:51965609","bmusculus"
"463",NA,"2:74193595:74194506","bmusculus"
"464",NA,"21:10960632:10961504","bmusculus"
"465",NA,"16:49722011:49723349","bmusculus"
"466",NA,"6:24259:25588","bmusculus"
"467",NA,":1187:2764","bmusculus"
"468",NA,"11:51959303:51960268","bmusculus"
"469",NA,"21:10959461:10960333","bmusculus"
"470",NA,"2:74190823:74191518","bmusculus"
"471","ZNF569","19:15508297:15509029","bmusculus"
"472",NA,"20:59641078:59641965","bmusculus"
"473",NA,":39892:40876","bmusculus"
"474",NA,"10:92751809:92752320","bmusculus"
"475",NA,"21:19176207:19176862","bmusculus"
"476",NA,"6:22230:23342","bmusculus"
"477",NA,"4:7158029:7159033","bmusculus"
"478",NA,"2:74192527:74193263","bmusculus"
"479",NA,"9:70055938:70056586","bmusculus"
"480",NA,"11:51966899:51967832","bmusculus"
"481",NA,"18:59407660:59408246","bmusculus"
"482",NA,"16:49732198:49733010","bmusculus"
"483",NA,":0:829","bmusculus"
"484",NA,"X:75330876:75331314","bmusculus"
"485","FBXO21","14:12325172:12325892","bmusculus"
"486",NA,"16:49695084:49696068","bmusculus"
"487",NA,"19:447058:447572","bmusculus"
"488",NA,"11:51958294:51959180","bmusculus"
"489",NA,"10:20988871:20989468","bmusculus"
"490",NA,"13:891018:891731","bmusculus"
"491","FBXO21","14:12326212:12326725","bmusculus"
"492",NA,"6:25591:26556","bmusculus"
"493",NA,"2:74191653:74192205","bmusculus"
"494",NA,"16:18945824:18946470","bmusculus"
"495",NA,"11:51961049:51961662","bmusculus"
"496",NA,"11:51961941:51962517","bmusculus"
"497",NA,"11:51968769:51969360","bmusculus"
"498",NA,"16:18952768:18953407","bmusculus"
"499",NA,"16:18944848:18945460","bmusculus"
"500",NA,"16:18948762:18949229","bmusculus"
"501",NA,"16:49730983:49731458","bmusculus"
"502",NA,"11:51974042:51974804","bmusculus"
"503","OLA1","7:55076653:55077203","bmusculus"
"504",NA,"7:49057006:49057734","bmusculus"
"505",NA,"11:51976529:51976950","bmusculus"
"506",NA,"21:19179595:19179902","bmusculus"
"507",NA,"16:49690517:49690995","bmusculus"
"508",NA,"6:23433:24172","bmusculus"
"509","FAM81A","2:74500307:74500694","bmusculus"
"510",NA,"19:442717:442914","bmusculus"
"511","RGS7","1:154583170:154583483","bmusculus"
"512","GRB10","9:105358674:105359240","bmusculus"
"513","DENND6A","11:72365698:72365936","bmusculus"
"514",NA,"5:19572117:19572569","bmusculus"
"515","CADM2","4:107182883:107183298","bmusculus"
"516","CCSER1","5:11347808:11348453","bmusculus"
"517",NA,"14:90454403:90454891","bmusculus"
"518",NA,"16:18944386:18944826","bmusculus"
"519",NA,"11:39606024:39606344","bmusculus"
"520",NA,"14:37364738:37365132","bmusculus"
"521",NA,"15:7914506:7914774","bmusculus"
"522","ARHGEF10","21:10965966:10966229","bmusculus"
"523",NA,"11:51962554:51962959","bmusculus"
"524",NA,"9:70059027:70059417","bmusculus"
"525",NA,"19:6037870:6038140","bmusculus"
"526",NA,"9:44455892:44456090","bmusculus"
"527",NA,"6:20708:21162","bmusculus"
"528","ZNF569","19:15509802:15510069","bmusculus"
"529",NA,"10:87913782:87914081","bmusculus"
"530","ZNF569","19:15510403:15510651","bmusculus"
"531","MAP3K5","12:27526157:27526398","bmusculus"
"532",NA,"11:51968064:51968293","bmusculus"
"533",NA,"14:90457476:90457828","bmusculus"
"534",NA,"3:98101147:98101352","bmusculus"
"535",NA,"2:119009204:119009567","bmusculus"
"536","ZNF569","19:15517138:15517353","bmusculus"
"537",NA,"6:37053034:37053888","bmusculus"
"538","ARHGEF10","21:10966034:10966229","bmusculus"
"539",NA,"9:32038615:32038951","bmusculus"
"540",NA,"16:49696399:49696767","bmusculus"
"541","MTHFD1L","12:15777780:15778001","bmusculus"
"542",NA,"13:11303768:11303959","bmusculus"
"543",NA,"4:35189789:35190185","bmusculus"
"544","LPIN1","13:82285492:82285736","bmusculus"
"545",NA,"19:437421:437616","bmusculus"
"546",NA,"2:100717226:100717430","bmusculus"
"547",NA,"11:51966258:51966539","bmusculus"
"548",NA,"9:70059223:70059417","bmusculus"
"549",NA,"3:53534277:53534496","bmusculus"
"550",NA,"14:37364941:37365132","bmusculus"
"551","ARHGEF10","21:10962227:10962396","bmusculus"
"552",NA,"14:37361250:37361463","bmusculus"
"553","ZNF569","19:15509452:15509654","bmusculus"
"554",NA,"16:49692235:49692455","bmusculus"
"555",NA,"3:154449321:154449763","bmusculus"
"556",NA,"18:34067961:34068354","bmusculus"
"557","PDE4D","3:45166711:45166868","bmusculus"
"558",NA,"16:49724584:49724811","bmusculus"
"559",NA,"19:443026:443182","bmusculus"
"560",NA,"14:58282183:58282390","bmusculus"
"561",NA,"X:111125998:111126094","bmusculus"
"562",NA,"8:60396413:60396577","bmusculus"
"563","MIS12","20:49753293:49753454","bmusculus"
"564",NA,":10100:10374","bmusculus"
"565",NA,"16:49723912:49724227","bmusculus"
"566",NA,"6:37044266:37044762","bmusculus"
"567",NA,"16:71133301:71133518","bmusculus"
"568",NA,"21:19177057:19177211","bmusculus"
"569",NA,"16:49691565:49691784","bmusculus"
"570",NA,":10863:11174","bmusculus"
"571",NA,"12:86692037:86692252","bmusculus"
"572",NA,"20:59640609:59640755","bmusculus"
"573",NA,"20:13555128:13555278","bmusculus"
"574",NA,"X:118637076:118637175","bmusculus"
"575",NA,"16:49724050:49724227","bmusculus"
"576",NA,"16:49691694:49691784","bmusculus"
"577",NA,":10993:11174","bmusculus"
"578",NA,"11:51969701:51969789","bmusculus"
"579",NA,"20:13555188:13555278","bmusculus"
"580",NA,"5:19566756:19566873","bmusculus"
"581","RIPOR3","15:10905634:10905704","bmusculus"
"582",NA,"6:37054529:37054715","bmusculus"
"583",NA,"3:13199940:13200018","bmusculus"
"584","TM2D3","2:30572598:30572663","bmusculus"
"585",NA,"3:13199863:13199941","bmusculus"
"586","RGS7","1:154583492:154583596","bmusculus"
"587","SLC9B1","5:67825816:67825879","bmusculus"
"588","NECTIN3","4:87198271:87198342","bmusculus"
"589","SEC23A","2:116180348:116180525","bmusculus"
"590","ATP10B","3:143111354:143111553","bmusculus"
"591",NA,"7:107462568:107462642","bmusculus"
"592","NCOA1","13:71459804:71459924","bmusculus"
"593",NA,"16:18953719:18953916","bmusculus"
"594",NA,"3:13200017:13200095","bmusculus"
